time,stim,event,duration
1704288370.5002487,shock,start,0
1704288490.5437737,shock,shock_tail,2
1704288534.5514205,shock,shock_tail,2
1704288583.5970638,shock,shock_tail,2
1704288626.5014315,shock,shock_tail,2
1704288657.5175226,shock,shock_tail,2
1704288697.6006382,shock,shock_tail,2
1704288729.5258963,shock,shock_tail,2
1704288779.582857,shock,shock_tail,2
1704288823.5889843,shock,shock_tail,2
1704288867.6007528,shock,shock_tail,2
1704288903.5550656,shock,shock_tail,2
1704288940.5103662,shock,shock_tail,2
1704288982.507728,shock,shock_tail,2
1704289017.559023,shock,shock_tail,2
1704289062.5727682,shock,shock_tail,2
1704289098.5240693,shock,shock_tail,2
1704289148.5787277,shock,shock_tail,2
1704289191.5854225,shock,shock_tail,2
1704289241.5413642,shock,shock_tail,2
1704289287.5666294,shock,shock_tail,2
1704289333.588456,shock,shock_tail,2
1704289380.5219784,shock,shock_tail,2
1704289427.5560963,shock,shock_tail,2
1704289470.560246,shock,shock_tail,2
1704289507.5227013,shock,shock_tail,2
1704289544.5886605,shock,shock_tail,2
1704289575.506329,shock,shock_tail,2
1704289623.54637,shock,shock_tail,2
1704289668.5661445,shock,shock_tail,2
1704289702.5066042,shock,shock_tail,2
1704289736.5552711,shock,shock_tail,2
1704289772.5075748,shock,shock_tail,2
1704289805.539364,shock,shock_tail,2
1704289839.5775003,shock,shock_tail,2
1704289873.5142012,shock,shock_tail,2
1704289909.5670152,shock,shock_tail,2
1704289958.5083354,shock,shock_tail,2
1704290003.5260932,shock,shock_tail,2
1704290040.586559,shock,shock_tail,2
1704290085.5035052,shock,shock_tail,2
